Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,9,9,9,9,7,7,7,7,5,7
Albania,ALB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,40,39,40,38,36,9,6,6,5.5,4.5,4.5,4.5
Algeria,DZA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,24,24,24,24,24,24,24,24,24,24,24,22
American Samoa,ASM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,83,83,83,83,83,68,68,66,66,66,66,66
Antigua and Barbuda,ATG,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,21,21,21,21,21,21,21,21,21
Arab World,ARB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,45.6153846153846,41.875,39.5,38.2777777777778,31.7,20.2,19.65,19.675,19.125,20.7380952380952,19.4761904761905,18.6666666666667
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,66,30,30,30,30,30.5,25.5,25,25,25,25,25
Armenia,ARM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,18,18,18,17,17,17,14,14,8,8,4,3
Aruba,ABW,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Austria,AUT,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,25,25,25,25,25,25,25,25,25,25,25,22
Azerbaijan,AZE,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,105,121,113,51,36,10,10,8,8,8,7,5
"Bahamas, The",BHS,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.5,30.5,30.5,23.5,23.5,23.5,23.5,23.5
Bahrain,BHR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,9,9,9,9,9,9,9
Bangladesh,BGD,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,58,51.5,51.5,43.5,67.5,66.5,43.5,26.5,26.5,26.5,21.8,19.5
Barbados,BRB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,18,18,18
Belarus,BLR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,79,79,79,69,48,31,10,10,10,10,9,9
Belgium,BEL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,56,34,34,27,4,4,4,4,4,4,4,4
Belize,BLZ,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57,44,43,43,43,43,43,43,43,43
Benin,BEN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,35,34,34,34,34,34,34,34,32,29,18,12
Bermuda,BMU,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,64,62,62,62,48,46,46,46,36,36,32,17
Bolivia,BOL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,60,60,50,50,50,50,50,49,49,49,49,49
Bosnia and Herzegovina,BIH,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,68,63,63,63,63,69,69,64,40,37,37,37
Botswana,BWA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,125,125,125,105,105,74,59,59,59,59,60,60
Brazil,BRA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,156,156,156,151,152,147,122,122,122,122,86.6,83.6
Brunei Darussalam,BRN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,116,116,116,116,105,101,101,101,101
Bulgaria,BGR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,32,32,32,32,32,49,18,18,18,18,18,18
Burkina Faso,BFA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,40,40,40,34,18,16,14,14,13,13,13,13
Burundi,BDI,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,13,13,13,13,13,13,13,13,13,7,5,5
Cabo Verde,CPV,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60,52,52,52,24,11,11,11,10,10
Cambodia,KHM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,94,94,87,86,86,102,102,102,102,102,101,101
Cameroon,CMR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,45,45,45,45,38,38,35,19,15,15,15,15
Canada,CAN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,3,3,3,5,5,5,5,5,5,5
Cayman Islands,CYM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,22,22,22,22,22,23,24,24,22,22,22,22
Chad,TCD,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,62,62,62,62,62,62,62,62,53,60,60,60
Channel Islands,CHI,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,42,42,42,40,40,40,40,34.5,7.5,5.5,5.5,5.5
China,CHN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,48,48,48,35,35,41,38,38,38,33,34.4,31.4
Colombia,COL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,43,40,40,41,40,34,18,10,10,11,11,11
Comoros,COM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,30,30,22,22,22,22,20,15,15
"Congo, Dem. Rep.",COD,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,166,133,133,133,132,132,126,84,65,58,31,16
"Congo, Rep.",COG,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,37,37,37,37,38,161,161,161,161,161,101,53
Costa Rica,CRI,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,77,77,77,77,77,60,59.5,59.5,59.5,59.5,24,24
Cote d'Ivoire,CIV,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,62,58,45,45,42,40,40,40,32,32,8,7
Croatia,HRV,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,29,29,29,25,22.5,22.5,22.5,15.5,15,15,15,15
Cuba,CUB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,8,8,8,8,8,8
Czech Republic,CZE,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,40,40,40,24,17,20,20,20,19.5,19.5,19.5,19
Denmark,DNK,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,6,6,6,6,6,5.5,5.5,5.5,5.5,5.5
Djibouti,DJI,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44,44,44,37,37,37,37,37,17,14
Dominica,DMA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,14,14,13,13,13,12,12,12,12
Dominican Republic,DOM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,79,79,76,81,30,20,21,20,19.5,19.5,19.5,19.5
East Asia & Pacific,EAS,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,44.8076923076923,47.037037037037,47.2222222222222,46.2142857142857,43.8571428571429,42.0535714285714,39.4107142857143,36.375,32.7857142857143,33,34.1413793103448,30.2620689655172
East Asia & Pacific (excluding high income),EAP,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,54.4736842105263,57,56.55,52.1,49.75,48.2,45.9,42.55,39.05,39.1904761904762,40.7809523809524,35.4238095238095
Ecuador,ECU,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,92,92,69,65,65,65,64,56,55.5,55.5,55.5,55.5
"Egypt, Arab Rep.",EGY,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,38,38,22,19,10,8,8,8,8,8,8,8
El Salvador,SLV,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,115,115,40,35,19.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
Equatorial Guinea,GNQ,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,177,154,155,155,155,155,133,154,135,135
Eritrea,ERI,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76,76,76,83,84,84,84,84,84,84,84
Estonia,EST,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,72,72,35,35,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4.5
Ethiopia,ETH,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,46,34,34,18,18,18,15,15,15,15,15,15
Euro area,EMU,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,48.6875,40.25,28.875,25.0882352941176,21.5294117647059,16.6666666666667,15.8333333333333,14.4166666666667,14.0526315789474,13.3947368421053,12.6052631578947,10.6052631578947
Europe & Central Asia,ECS,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,42.0952380952381,36.7906976744186,31.3636363636364,26.4347826086957,22.5434782608696,18.7872340425532,16.75,15.6458333333333,14.21875,13.8775510204082,12.7020408163265,11.2897959183673
Europe & Central Asia (excluding high income),ECA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,43.4375,40.875,39.4705882352941,32.2222222222222,27.3333333333333,23,18.4210526315789,17.3157894736842,15.4736842105263,14.4210526315789,12.5526315789474,11.5526315789474
European Union,EUU,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,42.12,36.68,27.68,23.8461538461538,20.2307692307692,17.3703703703704,15.6666666666667,14.4814814814815,14.3571428571429,13.8035714285714,13.1607142857143,11.5714285714286
Faroe Islands,FRO,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,31,31,44,44,44,44,44,44,44,58,59,59
Finland,FIN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,31,14,14,14,14,14,14,14,14,14,14,14
France,FRA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,41,7,7,7,7,6.5,6.5,6.5,6.5,6.5,6.5,4.5
French Polynesia,PYF,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57,57,57,57,57,57,57,57,50,50
"Gambia, The",GMB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28,27,32,27,27,27,27,27,27,26
Georgia,GEO,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,25,25,21,16,11,3,3,3,2,2,2,2
Germany,DEU,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,45,45,22,22,18,17.5,17.5,14.5,14.5,14.5,14.5,14.5
Ghana,GHA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,21,21,17,17,13,11,11,11,11,11,14,14
Gibraltar,GIB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,38,38,38,38,38,19,19,19,11,11,14,13
Greenland,GRL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,20,19,19,19,14,14,14,15,15
Guam,GUM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,39,39,39,27,34,34,37,37,37,40,19.5,18.5
Guinea,GIN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,48,40,40,40,40,40,40,40,40,35,16,8
Guinea-Bissau,GNB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,259,260,259,259,216,216,9,9,9,9
Guyana,GUY,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42,42,42,37,38,27,23,19,19,19,19
Haiti,HTI,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,260,202,202,202,202,224,224,134,134,134,97,97
Heavily indebted poor countries (HIPC),HPC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,59.1724137931034,55.2352941176471,58.5135135135135,55.8157894736842,50.0526315789474,49.4210526315789,46.8947368421053,42.5,31.9868421052632,30.2368421052632,24.6315789473684,21.3289473684211
High income,HIC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,37.7111111111111,32.9565217391304,32.1176470588235,30.0188679245283,26.7946428571429,24.2017543859649,23.6578947368421,22.5789473684211,19.7118644067797,19.925,19.0466666666667,17.7
High income: nonOECD,NOC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,40.3333333333333,37.0666666666667,44.85,44.2380952380952,38.625,36.02,35.5,34.1,29.8703703703704,30.4285714285714,28.8,27.5607142857143
High income: OECD,OEC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,36.4,30.9677419354839,23.9032258064516,20.6875,17.921875,14.96875,14.40625,13.578125,11.140625,10.734375,10.5125,9.071875
Honduras,HND,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,61,61,69,57,20,20,14,14,14,14,14,14
"Hong Kong SAR, China",HKG,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,11,11,11,11,11,11,6,6,2.5,2.5,2.5,2.5
Hungary,HUN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,52,52,38,38,16,5,4,4,4,5,5,5
Iceland,ISL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,5,5,5,5,5,5,4.5,4.5,4.5,4
India,IND,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,80,81,70,34,32,29,29,27,27,25,26.1,28.4
Indonesia,IDN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,168,151,151,97,105,77,62,49,48,48,75.5,52.5
